timeOpen,timeClose,timeHigh,timeLow,name,open,high,low,close,volume,marketCap,timestamp
2021-06-28T00:00:00.000Z,2021-07-04T23:59:59.999Z,2021-06-29T17:34:03.000Z,2021-07-02T06:18:03.000Z,2781,34679.12222,36542.11102,32770.68078,35287.77977,231729218471,661574836315,2021-07-04T23:59:59.999Z
2021-06-21T00:00:00.000Z,2021-06-27T23:59:59.999Z,2021-06-21T00:03:03.000Z,2021-06-22T13:56:03.000Z,2781,35641.14606,35721.63963,28893.62166,34649.64459,305541799334,649461677014,2021-06-27T23:59:59.999Z
2021-06-14T00:00:00.000Z,2021-06-20T23:59:59.999Z,2021-06-15T18:15:03.000Z,2021-06-20T12:24:03.000Z,2781,39016.97018,41295.26857,33432.07604,35698.29644,269949570053,668968868770,2021-06-20T23:59:59.999Z
2021-06-07T00:00:00.000Z,2021-06-13T23:59:59.999Z,2021-06-13T20:59:03.000Z,2021-06-08T15:25:03.000Z,2781,35835.26551,39322.78021,31114.44247,39097.8609,298428017340,732465659892,2021-06-13T23:59:59.999Z
2021-05-31T00:00:00.000Z,2021-06-06T23:59:59.999Z,2021-06-03T10:21:03.000Z,2021-05-31T04:23:03.000Z,2781,35658.59296,39478.95118,34241.94356,35862.37773,248884892724,671652557855,2021-06-06T23:59:59.999Z
2021-05-24T00:00:00.000Z,2021-05-30T23:59:59.999Z,2021-05-26T08:03:03.000Z,2021-05-30T00:43:03.000Z,2781,34700.36357,40782.07818,33520.73796,35678.1292,350206489990,667976638398,2021-05-30T23:59:59.999Z
2021-05-17T00:00:00.000Z,2021-05-23T23:59:59.999Z,2021-05-17T00:02:03.000Z,2021-05-19T13:10:03.000Z,2781,46415.89925,46623.55823,30681.49691,34770.58362,563629210101,650686270744,2021-05-23T23:59:59.999Z
2021-05-10T00:00:00.000Z,2021-05-16T23:59:59.999Z,2021-05-10T04:07:03.000Z,2021-05-16T20:52:03.000Z,2781,58250.87253,59519.35443,43963.35019,46456.05847,483967915938,869279076502,2021-05-16T23:59:59.999Z
2021-05-03T00:00:00.000Z,2021-05-09T23:59:59.999Z,2021-05-08T20:30:03.000Z,2021-05-05T00:03:03.000Z,2781,56620.27262,59464.61249,52969.05536,58232.31614,458766142208,1089244557676,2021-05-09T23:59:59.999Z
2021-04-26T00:00:00.000Z,2021-05-02T23:59:59.999Z,2021-05-01T01:55:03.000Z,2021-04-26T00:05:03.000Z,2781,49077.79236,58448.33881,48852.79684,56631.07741,335231529995,1058862005057,2021-05-02T23:59:59.999Z
2021-04-19T00:00:00.000Z,2021-04-25T23:59:59.999Z,2021-04-19T08:04:03.000Z,2021-04-25T21:43:03.000Z,2781,56191.58411,57520.05478,47159.48584,49004.25326,444719708698,915955943256,2021-04-25T23:59:59.999Z
2021-04-12T00:00:00.000Z,2021-04-18T23:59:59.999Z,2021-04-14T11:44:03.000Z,2021-04-18T03:36:03.000Z,2781,60175.94476,64863.09891,52829.53593,56216.185,508118943572,1050445401610,2021-04-18T23:59:59.999Z
2021-04-05T00:00:00.000Z,2021-04-11T23:59:59.999Z,2021-04-10T05:02:03.000Z,2021-04-07T19:21:08.000Z,2781,58760.87326,61276.66537,55604.02359,60204.96491,406637390979,1124635848775,2021-04-11T23:59:59.999Z
2021-03-29T00:00:00.000Z,2021-04-04T23:59:59.999Z,2021-04-02T02:37:03.000Z,2021-03-29T05:44:03.000Z,2781,55947.89897,60267.18765,55139.34176,58758.55629,408348561550,1097232660348,2021-04-04T23:59:59.999Z
2021-03-22T00:00:00.000Z,2021-03-28T23:59:59.999Z,2021-03-22T10:22:03.000Z,2021-03-25T12:40:03.000Z,2781,57517.89149,58471.47865,50856.56869,55950.74577,403128836644,1044446559059,2021-03-28T23:59:59.999Z
